Passenger_Name__c,Title__c,Survived__c,Travel_Class__c,Sex__c,Age__c,Age_Group__c,Port_of_Embarkation__c,Fare__c,Fare_Category__c,Deck__c,Cabin__c,Ticket_Number__c,Siblings_Spouses__c,Parents_Children__c,Family_Group__c,Had_Lifeboat__c,Lifeboat__c,Home_Destination__c
"Allen, Miss. Elisabeth Walton",Miss,Yes,First,Female,29,Young Adult,Southampton,211.3375,Luxury,B,B5,24160,0,0,Solo,Yes,2,"St Louis, MO"
"Allison, Master. Hudson Trevor",Master,Yes,First,Male,0.92,Child,Southampton,151.5500,Luxury,C,C22 C26,113781,1,2,Small Family,Yes,11,"Montreal, PQ / Chesterville, ON"
"Allison, Miss. Helen Loraine",Miss,No,First,Female,2,Child,Southampton,151.5500,Luxury,C,C22 C26,113781,1,2,Small Family,No,,"Montreal, PQ / Chesterville, ON"
"Allison, Mr. Hudson Joshua Creighton",Mr,No,First,Male,30,Young Adult,Southampton,151.5500,Luxury,C,C22 C26,113781,1,2,Small Family,No,,"Montreal, PQ / Chesterville, ON"
"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",Mrs,No,First,Female,25,Young Adult,Southampton,151.5500,Luxury,C,C22 C26,113781,1,2,Small Family,No,,"Montreal, PQ / Chesterville, ON"
"Anderson, Mr. Harry",Mr,Yes,First,Male,48,Middle Aged,Southampton,26.5500,Standard,E,E12,19952,0,0,Solo,Yes,3,"New York, NY"
"Andrews, Miss. Kornelia Theodosia",Miss,Yes,First,Female,63,Senior,Southampton,77.9583,Premium,D,D7,13502,1,0,Small Family,Yes,10,"Hudson, NY"
"Andrews, Mr. Thomas Jr",Mr,No,First,Male,39,Middle Aged,Southampton,0.0000,Budget,A,A36,112050,0,0,Solo,No,,"Belfast, NI"
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",Mrs,Yes,First,Female,53,Middle Aged,Southampton,51.4792,Premium,C,C101,11769,2,0,Small Family,Yes,D,"Bayside, Queens, NY"
"Artagaveytia, Mr. Ramon",Mr,No,First,Male,71,Senior,Cherbourg,49.5042,Premium,Unknown,,PC 17609,0,0,Solo,No,,"Montevideo, Uruguay"
"Astor, Col. John Jacob",Officer,No,First,Male,47,Middle Aged,Cherbourg,227.5250,Luxury,C,C62 C64,PC 17757,1,0,Small Family,No,,"New York, NY"
"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",Mrs,Yes,First,Female,18,Teen,Cherbourg,227.5250,Luxury,C,C62 C64,PC 17757,1,0,Small Family,Yes,4,"New York, NY"
"Aubart, Mme. Leontine Pauline",Mrs,Yes,First,Female,24,Young Adult,Cherbourg,69.3000,Premium,B,B35,PC 17477,0,0,Solo,Yes,9,"Paris, France"
"Barber, Miss. Ellen ""Nellie""",Miss,Yes,First,Female,26,Young Adult,Southampton,78.8500,Premium,Unknown,,19877,0,0,Solo,Yes,6,
"Barkworth, Mr. Algernon Henry Wilson",Mr,Yes,First,Male,80,Senior,Southampton,30.0000,Premium,A,A23,27042,0,0,Solo,Yes,B,"Hessle, Yorks"
"Baumann, Mr. John D",Mr,No,First,Male,,Unknown,Southampton,25.9250,Standard,Unknown,,PC 17318,0,0,Solo,No,,"New York, NY"
"Baxter, Mr. Quigg Edmond",Mr,No,First,Male,24,Young Adult,Cherbourg,247.5208,Luxury,B,B58 B60,PC 17558,0,1,Small Family,No,,"Montreal, PQ"
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",Mrs,Yes,First,Female,50,Middle Aged,Cherbourg,247.5208,Luxury,B,B58 B60,PC 17558,0,1,Small Family,Yes,6,"Montreal, PQ"
"Bazzani, Miss. Albina",Miss,Yes,First,Female,32,Young Adult,Cherbourg,76.2917,Premium,D,D15,11813,0,0,Solo,Yes,8,
"Beattie, Mr. Thomson",Mr,No,First,Male,36,Middle Aged,Cherbourg,75.2417,Premium,C,C6,13050,0,0,Solo,Yes,A,"Winnipeg, MN"
"Beckwith, Mr. Richard Leonard",Mr,Yes,First,Male,37,Middle Aged,Southampton,52.5542,Premium,D,D35,11751,1,1,Small Family,Yes,5,"New York, NY"
"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",Mrs,Yes,First,Female,47,Middle Aged,Southampton,52.5542,Premium,D,D35,11751,1,1,Small Family,Yes,5,"New York, NY"
"Behr, Mr. Karl Howell",Mr,Yes,First,Male,26,Young Adult,Cherbourg,30.0000,Premium,C,C148,111369,0,0,Solo,Yes,5,"New York, NY"
"Bidois, Miss. Rosalie",Miss,Yes,First,Female,42,Middle Aged,Cherbourg,227.5250,Luxury,Unknown,,PC 17757,0,0,Solo,Yes,4,
"Bird, Miss. Ellen",Miss,Yes,First,Female,29,Young Adult,Southampton,221.7792,Luxury,C,C97,PC 17483,0,0,Solo,Yes,8,
"Birnbaum, Mr. Jakob",Mr,No,First,Male,25,Young Adult,Cherbourg,26.0000,Standard,Unknown,,13905,0,0,Solo,No,,"San Francisco, CA"
"Bishop, Mr. Dickinson H",Mr,Yes,First,Male,25,Young Adult,Cherbourg,91.0792,Premium,B,B49,11967,1,0,Small Family,Yes,7,"Dowagiac, MI"
"Bishop, Mrs. Dickinson H (Helen Walton)",Mrs,Yes,First,Female,19,Teen,Cherbourg,91.0792,Premium,B,B49,11967,1,0,Small Family,Yes,7,"Dowagiac, MI"
"Bissette, Miss. Amelia",Miss,Yes,First,Female,35,Young Adult,Southampton,135.6333,Luxury,C,C99,PC 17760,0,0,Solo,Yes,8,
"Bjornstrom-Steffansson, Mr. Mauritz Hakan",Mr,Yes,First,Male,28,Young Adult,Southampton,26.5500,Standard,C,C52,110564,0,0,Solo,Yes,D,"Stockholm, Sweden / Washington, DC"
"Blackwell, Mr. Stephen Weart",Mr,No,First,Male,45,Middle Aged,Southampton,35.5000,Premium,T,T,113784,0,0,Solo,No,,"Trenton, NJ"
"Blank, Mr. Henry",Mr,Yes,First,Male,40,Middle Aged,Cherbourg,31.0000,Premium,A,A31,112277,0,0,Solo,Yes,7,"Glen Ridge, NJ"
"Bonnell, Miss. Caroline",Miss,Yes,First,Female,30,Young Adult,Southampton,164.8667,Luxury,C,C7,36928,0,0,Solo,Yes,8,"Youngstown, OH"
"Bonnell, Miss. Elizabeth",Miss,Yes,First,Female,58,Senior,Southampton,26.5500,Standard,C,C103,113783,0,0,Solo,Yes,8,"Birkdale, England Cleveland, Ohio"
